INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,CONTROL,LATITUDE,LONGITUDE,MENONLY,WOMENONLY,ADM_RATE_ALL,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,AVGFACSAL,PCTPELL,RET_FT4,PCTFLOAN,AGE_ENTRY,FEMALE,MARRIED,VETERAN,FIRST_GEN,FAMINC,MD_FAMINC
Florida National University-South Campus,Miami,FL,331752478,Southern Association of Colleges and Schools Commission on Colleges,www.fnu.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13250,NULL,NULL,NULL,NULL,NULL,NULL,29.54668713,0.7377846,0.244308007,0.005372218,0.566216216,16882.25684,13365
Florida National University Training Center,Hialeah,FL,330122478,Southern Association of Colleges and Schools Commission on Colleges,www.fnu.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13250,NULL,NULL,NULL,NULL,NULL,NULL,29.54668713,0.7377846,0.244308007,0.005372218,0.566216216,16882.25684,13365
Connecticut Aero Tech  School,Hartford,CT,6114,Council on Occupational Education,www.cttech.org/cats/,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6576,NULL,NULL,NULL,NULL,28.1,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,24232.7,19819
Compu-Med Vocational Careers Corp,Miami,FL,33165,Accrediting Commission of Career Schools and Colleges,compumedschool.com,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7300,NULL,NULL,NULL,NULL,33.06146179,0.945182724,0.352159468,PrivacySuppressed,0.602661597,7437.488372,0
Technical Education Center Osceola - St. Cloud Campus,St. Cloud,FL,347696017,Council on Occupational Education,teco.osceolaschools.net,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4764,NULL,NULL,NULL,NULL,26.59544659,0.558669002,0.169877408,PrivacySuppressed,0.472160356,20496.16813,17889
Technical Education Center Osceola - Poinciana Campus,Kissimmee,FL,347593328,Council on Occupational Education,teco.osceolaschools.net,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5486,NULL,NULL,NULL,NULL,26.59544659,0.558669002,0.169877408,PrivacySuppressed,0.472160356,20496.16813,17889
Southeastern College-Miami Lakes,Miami Lakes,FL,33015,Accrediting Commission of Career Schools and Colleges,www.sec.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18288,NULL,NULL,NULL,NULL,NULL,NULL,31.1553288,0.835600907,0.234693878,0.011337869,0.518072289,22867.93651,16491
Southeastern College-St. Petersburg,St. Petersburg,FL,33716,NULL,www.sec.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31.1553288,0.835600907,0.234693878,0.011337869,0.518072289,22867.93651,16491
Southeastern College-New Port Richey,New Port Richey,FL,34652,NULL,www.sec.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31.1553288,0.835600907,0.234693878,0.011337869,0.518072289,22867.93651,16491
Southeastern College - Tampa,Tampa,FL,33634,NULL,www.sec.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31.1553288,0.835600907,0.234693878,0.011337869,0.518072289,22867.93651,16491
Strayer University-Rockville Campus,Rockville,MD,20850,Middle States Commission on Higher Education,www.strayer.edu/maryland/rockville,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12975,NULL,NULL,NULL,NULL,NULL,NULL,33.36080111,0.750834485,0.216898749,0.014430696,0.537294034,23781.1346,18178
